ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
119549,7779,Route of Old Colony Line Road,Texas Historical Commission,33.13702,-96.18210,,Greenville,Hunt County,
119550,,Twohig House,,29.42518,-98.49156,201 North St. Mary's Street,San Antonio,Bexar County,
119552,10175,Harrison County,the State of Texas.,32.52003,-94.25079,8612 US-80,Marshall,Harrison County,
119554,8060,Jefferson Turn Basin,State Historical Survey Committee.,32.75641,-94.34314,East Dallas Street,Jefferson,Marion County,
119557,8095,Site of Home of Captain George T. Todd,State Historical Survey Committee.,32.75989,-94.34760,503 North Polk Street,Jefferson,Marion County,
119560,8096,The George T. Todd House,Texas Historical Commission,32.75994,-94.34780,503 North Polk Street,Jefferson,Marion County,
119571,11257,Truman Kimbro,Texas Historical Commission,30.94823,-95.91403,113 West Trinity Street,Madisonville,Madison County,
119572,11258,Madison County,Texas Highway Department,30.96033,-95.91574,910 North May Street,Madisonville,Madison County,
119573,12041,First Baptist Church of Madisonville,Texas Historical Commission,30.94779,-95.91436,300 South Elm Street,Madisonville,Madison County,
119574,8592,Primus Kelly,State Historical Survey Committee,30.23259,-96.05466,,Navasota,Grimes County,
119575,9622,Site of the First Court House Built in Leon County,State of Texas,31.15523,-95.96841,143 North Leona Boulevard,Leona,Leon County,
119576,9628,Leon County,Texas Highway Department,31.17457,-95.97302,,Centerville,Leon County,
119577,9629,Leon County Courthouse,State Historical Survey Committee,31.25839,-95.97818,130 East St Marys Street,Centerville,Leon County,
119591,8666,Brazos County,State of Texas,30.67361,-96.37083,300 East 26th Street,Bryan,Brazos County,
119592,8699,Texas A&M University,Texas Historical Commission,30.62249,-96.33129,,College Station,Brazos County,
119597,,Navarro Street Bridge,,29.43105,-98.49006,,San Antonio,Bexar County,
119598,,The River in the 1900s,,29.43176,-98.48778,107 Avenue A,San Antonio,Bexar County,
119599,,River Communities,,29.43178,-98.48778,107 Avenue A,San Antonio,Bexar County,
119600,,St. Anthony de Padua,,29.42315,-98.48580,801 East Commerce Street,San Antonio,Bexar County,
119601,,Missions in the San Antonio River Valley,,29.42315,-98.48580,801 East Commerce Street,San Antonio,Bexar County,
119603,11754,New Baden,Texas Historical Commission,31.05112,-96.42982,199 FM 1940,New Baden,Robertson County,
119604,16082,Robertson County,Texas Highway Department,31.03648,-96.46698,,Franklin,Robertson County,
119605,10925,Franklin Carnegie Library,Texas Historical Commission,31.02735,-96.48418,315 East Decherd Street,Franklin,Robertson County,
119606,10943,Robertson County Courthouse,State Historical Survey Committee,31.02691,-96.48696,102 West Decherd Street,Franklin,Robertson County,
119610,11406,First Baptist Church,Texas Historical Commission,32.70922,-96.00731,125 E James St,Wills Point,Van Zandt County,
119617,,The San Antonio River,,29.43176,-98.48778,107 Avenue A,San Antonio,Bexar County,
119618,,Missions in the San Antonio River Valley,,29.43175,-98.48779,107 Avenue A,San Antonio,Bexar County,
119619,,The River in the 1800's,,29.43179,-98.48776,107 Avenue A,San Antonio,Bexar County,
119620,16756,Rose Fountain,Texas Historical Commission,32.70902,-96.00792,,Wills Point,Van Zandt County,
119621,17627,Brick Streets of Wills Point,Texas Historical Commission,32.70903,-96.00790,,Wills Point,Van Zandt County,
119624,13065,Early Play-By-Play Radio Broadcast of a College Football Game,Texas Historical Commission,30.61111,-96.33989,756 Houston Street,College Station,Brazos County,
119625,8675,Early Texas A&M Campus Housing,Texas Historical Commission,30.61158,-96.33795,,College Station,Brazos County,
119627,13369,"Main Drill Field, Texas A&M University",Texas Historical Commission,30.61323,-96.34213,,College Station,Brazos County,
119628,8698,Texas A&M Corps of Cadets,Texas Historical Commission,30.61249,-96.33772,,College Station,Brazos County,
119629,15825,The CW&BV and I&GN Railroads in Bryan,Texas Historical Commission,30.67166,-96.37386,315 South Main Street,Bryan,Brazos County,
119630,8674,College Station Railroad Depots,Texas Historical Commission,30.61256,-96.34391,,College Station,Brazos County,
119639,13339,Carnegie Public Library,Texas Historical Commission,30.67299,-96.37332,111 South Main Street,Bryan,Brazos County,
119640,12883,La Salle Hotel,Texas Historical Commission,30.67289,-96.37368,120 South Main Street,Bryan,Brazos County,
119641,17340,Queen Theater,Texas Historical Commission,30.67328,-96.37364,110 South Main Street,Bryan,Brazos County,
119642,8667,Brazos County Confederate Commissioners Court,State Historical Survey Committee,30.67369,-96.37080,300 East 26th Street,Bryan,Brazos County,
119643,8669,Town Named for William Joel Bryan,State Historical Survey Committee,30.67368,-96.37078,300 East 26th Street,Bryan,Brazos County,
119644,8689,Harvey Mitchell,State Historical Survey Committee,30.67367,-96.37081,300 East 26th Street,Bryan,Brazos County,
119646,17342,Bunton Branch Bridge,,30.01856,-97.85850,,Kyle,Hays County,
119647,10288,Kyle,Texas Historical Commission,29.98828,-97.87688,,Kyle,Hays County,
119668,9851,Rutherford Drugstore,Texas Historical Commission,33.18875,-95.22067,101 Houston Street,Mount Vernon,Franklin County,
