ref:US-TX:thc,ref:hmdb,isMissing,name,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county
11921,139094,,White Oak Independent School District,Texas Historical Commission,32.5301,-94.86166,South White Oak Road,White Oak,Gregg County
14784,32362,,White Point / Rosita,Texas Historical Commission,27.94992,-97.58313,,Odem,San Patricio County
7838,164280,,White Rock Baptist Church,Texas Historical Commission,33.26831,-96.11751,,Greenville,Hunt County
5784,212115,,White Rock Cemetery,Texas Historical Commission,31.70907,-97.13176,2747 Ross Road,Ross,McLennan County
22826,265331,,"White Rock Cemetery, Garden of Memories",Texas Historical Commission,32.94567,-96.80796,5700 Celestial Road,Dallas,Dallas County
11840,148625,,White Rock Chapel,Texas Historical Commission,32.94684,-96.81084,5555 Celestial Road,Addison,Dallas County
7839,164277,,White Rock Community,Texas Historical Commission,33.26827,-96.11889,,Celeste,Hunt County
13064,151483,,"White Rock Dam, Reservoir and Park",Texas Historical Commission,32.8148,-96.7243,,Dallas,Dallas County
7840,164279,,White Rock Methodist Church,Texas Historical Commission,33.26857,-96.11864,,Greenville,Hunt County
6921,151482,,White Rock Pump Station,Texas Historical Commission,32.82073,-96.72873,2900 White Rock Road,Dallas,Dallas County
11447,244632,,White Rose Cemetery,Texas Historical Commission,32.7041,-95.99363,,Wills Point,Van Zandt County
9238,219443,,White-Turner House,Texas Historical Commission,30.11437,-97.32025,1307 Main Street,Bastrop,Bastrop County
5785,188366,,White's Chapel,State Historical Survey Committee,32.93844,-97.15009,185 S White Chapel Boulevard,Southlake,Tarrant County
12468,262901,,White's Chapel Cemetery,Texas Historical Commission,32.94063,-97.15098,185 S White Chapel Blvd,Southlake,Tarrant County
5788,104684,,Whiteflat,Texas Historical Commission,34.10612,-100.8896,,Matador,Motley County
13807,211995,,Whitehall,State Historical Survey Committee,29.31721,-98.05769,11433 FM539,La Vernia,Wilson County
17237,113725,,Whitehead Cemetery,Texas Historical Commission,32.50415,-98.41394,65258 Interstate 20,Mingus,Erath County
10431,100437,,Whitehead Home,State Historical Survey Committee,30.89912,-94.6382,,Chester,Polk County
12819,29713,,Whitehouse Cemetery,Texas Historical Commission,31.299,-94.7181,416 Whitehouse Drive,Lufkin,Angelina County
11560,96694,,Whitesboro,State Historical Survey Committee.,33.65579,-96.90616,123 East Main Street,Whitesboro,Grayson County
11561,256520,,Whitewright,Texas Historical Commission,33.51285,-96.4016,,Whitewright,Grayson County
12902,256539,,Whitewright Masonic Lodge No. 167,Texas Historical Commission,33.50844,-96.39392,101 W Pine St,Whitewright,Grayson County
18690,167014,,Whitley-Keltner House,Texas Historical Commission,30.29607,-97.73556,200 E 32nd St,Austin,Travis County
5790,59698,,Whitney,Texas Historical Commission,31.9509,-97.32184,111 W Washington Street,Whitney,Hill County
5791,264593,,Whitney Memorial Park,Texas Historical Commission,31.94214,-97.31624,510 S Bosque St,Whitney,Hill County
5792,59800,,Whitney Messenger,Texas Historical Commission,31.95089,-97.32176,109 W Washington Avenue,Whitney,Hill County
5796,270627,,Whitt Cemetery,Texas Historical Commission,32.96037,-98.016,10517 Lone Star Road,Whitt,Parker County
5797,268789,,Whitt Seminary,Texas Historical Commission,32.95873,-98.01862,298 Rock Church Rd,Whitt,Parker County
5799,187156,,Wichita County,the State of Texas,33.84469,-98.49212,,Wichita Falls,Wichita County
15526,128678,,Wichita County Water Improvement Districts No. 1 & No. 2,Texas Historical Commission,33.90021,-98.48181,402 East Scott Avenue,Wichita Falls,Wichita County
5802,287220,,Wichita Falls Junior College,Texas Historical Commission,33.90422,-98.4969,1104 Broad Street,Wichita Falls,Wichita County
5804,128740,,"Wichita Falls Lodge No. 635, A.F. & A.M.",Texas Historical Commission,33.88278,-98.57833,3388 Barnett Road,Wichita Falls,Wichita County
5805,287309,,Wichita Falls Opera House,Texas Historical Commission,33.91099,-98.48939,921 Indiana Street,Wichita Falls,Wichita County
5806,287378,,Wichita Falls Traction Company,Texas Historical Commission,33.89686,-98.51168,,Wichita Falls,Wichita County
5808,287377,,Wichita Falls Woman's Forum,Texas Historical Commission,33.88817,-98.51348,2120 Speedway Avenue,Wichita Falls,Wichita County
17907,287222,,Wichita General Hospital,Texas Historical Commission,33.90567,-98.50343,1600 8th Street,Wichita Falls,Wichita County
20074,179249,,Wied Hall,Texas Historical Commission,29.42739,-97.05253,,Wied,Lavaca County
16508,150907,,Wied Hardware Store,Texas Historical Commission,30.84781,-96.98126,413 W Batte St,Cameron,Milam County
11142,290432,,Wiergate,Texas Historical Commission,31.00767,-93.70678,983 FM 1415,Wiergate,Newton County
5809,96685,,Wilbarger County,the State of Texas.,34.15812,-99.32046,4600 College Drive,Vernon,Wilbarger County
269,127587,,Wilbur Cherry,the State of Texas,29.29444,-94.81199,4002 Avenue K,Galveston,Galveston County
5810,91698,,Wild Horse Lake,Texas Historical Commission,35.22154,-101.84988,,Amarillo,Potter County
10490,239563,,Wild Rose Pass,State of Texas,30.71489,-103.78232,,Fort Davis,Jeff Davis County
14241,232732,,Wiley College,State Historical Survey Committee,32.53757,-94.37598,711 Wiley Ave,Marshall,Harrison County
12515,182148,,Wiley George,Texas Historical Commission,28.608,-96.6248,500 Martin Luther King Drive,Port Lavaca,Calhoun County
11432,237015,,Wiley Hardeman Post,Texas Historical Commission,32.67473,-95.70986,100 W. Garland Street,Grand Saline,Van Zandt County
16335,231131,,"Wilke Cemetery of Albert, Texas",Texas Historical Commission,30.18819,-98.59179,6144 Ranch Rd 1623,Albert,Gillespie County
