ref:US-TX:thc,ref:hmdb,isMissing,name,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county
14145,73661,,Enochs Cemetery,Texas Historical Commission,33.87068,-102.76706,3010 Texas 214,Enochs,Bailey County
1488,192563,,Enon Cemetery,State Historical Survey Committee,29.07555,-96.70977,,Edna,Jackson County
1502,208260,,Enrique Esparza,State Historical Survey Committee,29.2401,-98.46681,18555 Leal Road,San Antonio,Bexar County
10513,174133,,Enterprise-Journal,State Historical Survey Committee,30.0856,-94.09886,380 Walnut Street,Beaumont,Jefferson County
1489,167148,,Entrance to Old Estate of John Hallett,State Historical Survey Committee,29.45063,-96.94341,,Hallettsville,Lavaca County
5540,86417,,Entrance to Site of Townsen's Mill,State Historical Survey Committee,31.28692,-98.15483,,Adamsville,Lampasas County
1490,217739,,Ephraim Merrill Daggett,Texas Historical Commission,32.75109,-97.32936,,Fort Worth,Tarrant County
9767,204728,,Episcopal Church of the Annunciation,Texas Historical Commission,29.67886,-97.65184,301 South Walnut Avenue,Luling,Caldwell County
1491,179331,,Episcopal Church of the Messiah,Texas Historical Commission,29.50188,-97.44834,721 St. Louis Street,Gonzales,Gonzales County
1492,108544,,Episcopal Mission of the Ascension,State Historical Survey Committee,33.22838,-97.58548,905 S Church St,Decatur,Wise County
6991,156870,,Equipment Typical of Early Texas Logging,State Historical Survey Committee,31.35033,-94.70478,1903 Atkinson Drive,Lufkin,Angelina County
9065,126519,,"Erastus (""Deaf"") Smith",State Historical Survey Committee,29.58016,-95.76234,500 Houston Street,Richmond,Fort Bend County
15792,117455,,Erath Arches,Texas Historical Commission,32.21896,-98.20577,500 W Washington St,Stephenville,Erath County
1494,186526,,Erath County Courthouse,Texas Historical Commission,32.22008,-98.20203,100 West Washington Street,Stephenville,Erath County
,186547,,Erath County CSA War Memorial,The Sons and Daughters of Confederate Veterans,32.22004,-98.20245,100 West Washington Street,Stephenville,Erath County
17623,264233,,Erath County Poor Farm Cemetery,Texas Historical Commission,32.24582,-98.18194,1817 Co Rd 177,Stephenville,Erath County
1495,195554,,Erhardt Neuse House,Texas Historical Commission,29.73943,-98.10511,1297 Gruene Road,Gruene,Comal County
1496,143982,,Ernest Malapert Powell,Texas Historical Commission,30.7104,-101.20135,,Ozona,Crockett County
18902,210060,,Ernst and Antoinette Gruene House,Texas Historical Commission,29.7253,-98.12315,532 Rock Street,New Braunfels,Comal County
1498,61089,,Ernst Homestead,Texas Historical Commission,29.41902,-98.4901,411 S. Presa Street,San Antonio,Bexar County
8933,234294,,Erwin Evans Smith,Texas Historical Commission,33.59273,-95.91118,,Honey Grove,Fannin County
11779,165676,,Esparza Cemetery,Texas Historical Commission,26.02473,-97.62727,,Ranchito,Cameron County
1503,118277,,Espejo Beltran Expedition - 1582-1583,Texas Historical Commission,31.5853,-106.27302,1521 San Elizario Road,San Elizario,El Paso County
14956,79395,,Esperanza School Building,Texas Historical Commission,30.26901,-97.77284,2220 Barton Springs Road,Austin,Travis County
12655,246443,,Espuela,Texas Historical Commission,33.57352,-100.89413,831 FM 1868,Dickens,Dickens County
17227,208679,,Esser's Crossing at Wesson,Texas Historical Commission,29.85737,-98.3802,6630 FM 311,Spring Branch,Comal County
1504,174020,,Estacado Cemetery,Texas Historical Commission,33.7371,-101.56988,,Idalou,Lubbock County
15454,220994,,Estéfana Goseascochea Cemetery,Texas Historical Commission,25.9621,-97.5784,,Brownsville,Cameron County
18142,118314,,Estela Portillo Trambley,Texas Historical Commission,31.76788,-106.45418,800 South San Marcial Street,El Paso,El Paso County
17736,158119,,Estep-Burleson Building,Texas Historical Commission,31.19534,-98.71781,,San Saba,San Saba County
1505,170539,,Estes House,Texas Historical Commission,33.20464,-96.62089,,McKinney,Collin County
22388,263174,,Etta Moten Barnett,Texas Historical Commission,29.70203,-96.7805,1 Jackson Square,Weimar,Colorado County
1506,264167,,Euday Louis Bowman,Texas Historical Commission,32.76961,-97.34879,701 Grand Ave.,Fort Worth,Tarrant County
8677,255968,,Eugene Edge Home,Texas Historical Commission,30.66875,-96.36914,509 E 30th St,Bryan,Brazos County
11965,122983,,Eugene Thomas Heiner,Texas Historical Commission,29.76654,-95.3873,2525 Washington Avenue,Houston,Harris County
15000,79785,,Eugenia Pickard,Texas Historical Commission,32.45229,-99.71683,342 Cockerell Dr,Abilene,Taylor County
15815,117437,,Euless School,Texas Historical Commission,32.82892,-97.08182,605 S Main St,Euless,Tarrant County
1508,192278,,"Eureka Lodge No. 371, A.F. & A.M.",Texas Historical Commission,32.96574,-97.68384,,Springtown,Parker County
22706,203517,,Evangelia Settlement,Texas Historical Commission,31.54792,-97.13401,510 South 12th,Waco,McLennan County
13925,119879,Confirmed Missing,Evangelical Free Church,Texas Historical Commission,30.63359,-97.66274,1322 East University Avenue,Georgetown,Williamson County
14303,25872,,Evangelical Lutheran Church of Dessau,Texas Historical Commission,30.40192,-97.63964,13300 Dessau Road,Austin,Travis County
8331,165131,,Evangelical Lutheran Colleges of Texas,Texas Historical Commission,30.16185,-96.39435,,Brenham,Washington County
1511,89695,,Evant,Texas Historical Commission,31.47563,-98.15214,,Evant,Coryell County
9121,157356,,Events at Anahuac Leading to the Texas Revolution,State Historical Survey Committee,29.77315,-94.68215,501 Miller Street,Anahuac,Chambers County
9948,89023,,Everett Building,Texas Historical Commission,32.49535,-94.73828,214 North Fredonia Street,Longview,Gregg County
1512,206891,,Evergreen Cemetery,State Historical Survey Committee,28.4058,-97.74254,61 E Bowie St,Beeville,Bee County
6545,192594,,Evergreen Cemetery,Texas Historical Commission,28.81133,-97.00837,,Victoria,Victoria County
7436,50113,,Evergreen Cemetery,Texas Historical Commission,29.42792,-95.11462,,Arcadia,Galveston County
10658,235890,,Evergreen Cemetery,Texas Historical Commission,29.73853,-95.3209,500 Altic Street,Houston,Harris County
12132,140563,,Evergreen Cemetery,Texas Historical Commission,30.08607,-93.73892,,Orange,Orange County
12521,162156,,Evergreen Cemetery,Texas Historical Commission,31.85071,-98.39132,,Gustine,Comanche County
14739,275448,,Evergreen Cemetery,Texas Historical Commission,29.88558,-95.03525,13703 Sralla Road,Barrett,Harris County
17580,111857,,Evergreen Cemetery,Texas Historical Commission,33.64317,-95.55105,560 Evergreen St,Paris,Lamar County
7655,215392,,Evergreen United Methodist Church,Texas Historical Commission,30.56287,-95.23262,8025 State Highway 150,Evergreen,San Jacinto County
13085,263787,,Everheart-Canaan Cemetery,Texas Historical Commission,33.55704,-96.41399,845 Penny Rd,Whitewright,Grayson County
1515,287207,,Everman Cemetery,Texas Historical Commission,32.63088,-97.26767,800 E. Enon St,Everman,Tarrant County
1516,171800,,Evers Family Cemetery,Texas Historical Commission,29.50161,-98.61143,7103 Forest Pine Street,Leon Valley,Bexar County
18839,203496,,Evers House,Texas Historical Commission,33.21558,-97.14416,1035 West Oak Street,Denton,Denton County
6994,32058,,Ewing,Texas Historical Commission,31.37274,-94.4906,,Lufkin,Angelina County
18703,268213,,Excelsior Common School No. 47,Texas Historical Commission,31.68828,-94.33707,11270 St. Hwy 7 West,Center,Shelby County
8031,110989,,Excelsior House,State Historical Survey Committee,32.75591,-94.34552,211 West Austin Street,Jefferson,Marion County
1517,151080,,Exploration Route of Lt. James W. Abert,Texas Historical Commission,35.68891,-101.74477,,Dumas,Moore County
1519,31938,,Explosion of the Steamship Dayton,Texas Historical Commission,27.80049,-97.39931,1138 Ramirez Street,Corpus Christi,Nueces County
1520,187146,,Extinct Town of Anarene,Texas Historical Commission,33.48499,-98.66662,,Archer City,Archer County
5789,178951,,Exum Philip Whitfield,State Historical Survey Committee,29.70484,-96.55102,,Columbus,Colorado County
10730,242316,,Ezekial and Mary Jane Miller House,Texas Historical Commission,29.74253,-95.38315,304 Hawthorne Street,Houston,Harris County
1521,269126,,Ezekiel Smith,The State of Texas,29.55993,-97.96177,,Seguin,Guadalupe County
1524,111714,,F. J. Grayum Home,State Historical Survey Committee,32.71009,-100.92377,2300 32nd Street,Snyder,Scurry County
10005,218647,,F. L. Whaley House,State Historical Survey Committee,32.49756,-94.73889,101 East Whaley Street,Longview,Gregg County
14294,26728,,F. Weigl Iron Works,Texas Historical Commission,30.2622,-97.73891,100 Red River Street,Austin,Travis County
1523,193051,,F. Xavier Schmidt House,State Historical Survey Committee,29.35129,-98.8771,714 Lisbon Street,Castroville,Medina County
15277,188054,,F.M. Dougherty,Texas Historical Commission,33.63068,-97.12533,200 South Rusk,Gainesville,Cooke County
15723,192405,,F.W. Gross High School,Texas Historical Commission,28.78803,-97.00423,1107 South Depot Street,Victoria,Victoria County
1546,171950,,Fabra Smokehouse,Texas Historical Commission,29.79236,-98.73182,194 South Main Street,Boerne,Kendall County
6889,152094,,Fabulous Quarter Horse Steel Dust,State Historical Survey Committee,32.7792,-96.75783,3978 Martin Luther King Jr Boulevard,Dallas,Dallas County
18145,236007,,Fair Grounds Base Ball Park,Texas Historical Commission,29.7463,-95.37574,802 McGowen Street,Houston,Harris County
9873,271684,,Fairfield Female College,State of Texas,31.72258,-96.14981,601 E Reunion St,Fairfield,Freestone County
17336,264632,,Fairfield Gates Apartments,Texas Historical Commission,32.72855,-97.41866,3200 Fairfield Ave,Fort Worth,Tarrant County
13944,93537,,Fairmont Cemetery,Texas Historical Commission,36.47821,-100.11669,,Follett,Lipscomb County
1549,160873,,Fairmount Cemetery,Texas Historical Commission,31.4417,-100.44942,,San Angelo,Tom Green County
13223,107171,,Fairmount Cemetery,Texas Historical Commission,31.20489,-93.73902,,Hemphill,Sabine County
18473,104863,,Fairmount-Southside Historic District,Texas Historical Commission,32.72655,-97.33835,1200 W Allen Ave,Fort Worth,Tarrant County
1556,197584,,Fairview,Texas Historical Commission,32.73965,-97.39322,4900 Bryce Ave,Fort Worth,Tarrant County
1551,86396,,Fairview Cemetery,State Historical Survey Committee,32.01268,-102.08681,,Midland,Midland County
6253,188045,,Fairview Cemetery,Texas Historical Commission,33.63161,-97.12593,710 Fair Avenue,Gainesville,Cooke County
13098,93589,,Fairview Cemetery,Texas Historical Commission,36.37574,-100.21853,,Follett,Lipscomb County
13216,117717,,Fairview Cemetery,Texas Historical Commission,30.11545,-97.30664,,Bastrop,Bastrop County
17313,208841,,Fairview Cemetery,Texas Historical Commission,31.83975,-96.8052,,Hubbard,Hill County
17637,201973,,Fairview Cemetery,Texas Historical Commission,29.51818,-95.09623,,League City,Galveston County
18832,221222,,Fairview Cemetery,Texas Historical Commission,31.78953,-94.16742,219 Martin Luther King Dr,Center,Shelby County
14545,210983,,Fairview Church Cemetery,Texas Historical Commission,31.57444,-94.58693,6296 TX-21,Nacogdoches,Nacogdoches County
1555,206892,,Fairview Methodist Church,State Historical Survey Committee,29.08826,-98.32466,1644 FM 2505,Floresville,Wilson County
6995,79121,,Fairview School,Texas Historical Commission,31.2569,-94.71535,,Burke,Angelina County
1557,283672,,Fairy Cemetery,Texas Historical Commission,31.85123,-97.98475,773 Farm To Market 1602,Fairy,Hamilton County
1559,110755,,Faith Lutheran Church,State Historical Survey Committee,33.19239,-101.3794,,Post,Garza County
12744,59821,,Faith United Methodist Church,Texas Historical Commission,29.47458,-95.06697,,Dickinson,Galveston County
1560,208787,,Falconer Home,Texas Historical Commission,31.31392,-96.89091,433 Agnes Avenue,Marlin,Falls County
1561,166345,,Falfurrias,State Historical Survey Committee,27.22686,-98.14399,,Falfurrias,Brooks County
8032,218591,,"Falling Leaves, 1855",State Historical Survey Committee,32.75626,-94.35243,304 East Jefferson Street,Jefferson,Marion County
1562,208477,,Falls County,the State of Texas,31.24878,-96.84736,,Marlin,Falls County
11717,208470,,Falls County Courthouse,Texas Historical Commission,31.30651,-96.89853,125 Bridge Street,Marlin,Falls County
1563,84668,,Falls of the Brazos River,Texas Historical Commission,31.24913,-96.9206,644 FM 712,Marlin,Falls County
12344,40680,,Falvey Memorial United Methodist Church,Texas Historical Commission,31.48677,-94.93624,130 S Rusk Ave,Wells,Cherokee County
1565,93646,,"Family Forts, C.S.A.",State of Texas,32.92568,-99.21853,,Albany,Shackelford County
14518,206707,,Family Home of Dr. R. K. Smoot,State Historical Survey Committee,30.27432,-97.75975,1316 West 6th Street,Austin,Travis County
1568,182019,,Famous Mineral Water Company,Texas Historical Commission,32.81363,-98.11418,209 Northwest 6th Street,Mineral Wells,Palo Pinto County
,234638,,Fannin Battleground Memorial,State of Texas,28.68646,-97.2329,734 FM 2506,Fannin,Goliad County
,237668,,Fannin Burial Monument,State of Texas,28.64609,-97.37967,,Goliad,Goliad County
8872,96688,,Fannin County,the State of Texas.,33.57781,-96.17833,101 East Sam Rayburn Drive,Bonham,Fannin County
8871,128644,,Fannin County Courthouses,Texas Historical Commission,33.57729,-96.17871,101 East Sam Rayburn Drive,Bonham,Fannin County
17094,192232,,Fannin Street United Methodist Church,Texas Historical Commission,28.6649,-97.39665,354 South Mt Auburn Street,Goliad,Goliad County
1570,201915,,Fanny Finch Elementary School,Texas Historical Commission,33.1862,-96.61626,1205 S Tennessee St,McKinney,Collin County
8573,118940,,Fanthorp Inn,State of Texas,30.48309,-95.98404,579 South Main Street,Anderson,Grimes County
12949,254099,,Farmer Cemetery,Texas Historical Commission,33.34416,-98.54952,2151 Farmer Rd,Farmer,Young County
1571,106158,,Farmer Community,State Historical Survey Committee,33.78349,-101.45762,,Cone,Crosby County
18785,280303,,Farmers Electric Cooperative,Texas Historical Commission,33.13423,-96.0608,1956 I-30,Greenville,Hunt County
16205,111933,,Farmers State Bank and Reinstein Store,Texas Historical Commission,30.14237,-96.25725,5060 Main Street,Chappell Hill,Washington County
13603,3265,,Farmers State Bank Building,Texas Historical Commission,30.63683,-97.67815,716 S Austin Ave,Georgetown,Williamson County
10264,149916,,Farmers Union Gin Company,Texas Historical Commission,29.8756,-97.9413,120 W Grove St,San Marcos,Hays County
1574,162995,,Farmersville,Texas Historical Commission,33.16317,-96.36998,,Farmersville,Collin County
13927,163056,,Farmersville I.O.O.F. Cemetery,Texas Historical Commission,33.17304,-96.36224,,Farmersville,Collin County
13979,162982,,Farmersville Masonic Lodge,Texas Historical Commission,33.16365,-96.35981,,Farmersville,Collin County
1575,73699,,"Farwell, Texas",State of Texas,34.3848,-103.04017,,Farwell,Parmer County
6140,235006,,"Fate Lodge No. 802, A.F. & A.M.",Texas Historical Commission,32.94108,-96.38135,104 William E Crawford Ave,Fate,Rockwall County
6141,235007,,Fate Prebyterian Church,Texas Historical Commission,32.9405,-96.38136,202 William E Crawford Ave,Fate,Rockwall County
10352,187050,,Faulk-Gauntt Building,Texas Historical Commission,32.20603,-95.85519,217 North Prairieville Street,Athens,Henderson County
12509,150969,,Faust Street Bridge,Texas Historical Commission,29.69695,-98.10825,,New Braunfels,Comal County
12627,53236,,Fayette County Courthouse,Texas Historical Commission,29.90507,-96.87899,,La Grange,Fayette County
18757,183156,,Fayette County Jail,Texas Historical Commission,29.90393,-96.87806,171 South Main,La Grange,Fayette County
1580,183382,,Fayette County Precinct No. 2 Courthouse,Texas Historical Commission,29.90425,-96.6759,,Fayetteville,Fayette County
1581,84614,,"Fayette County, C.S.A.",State Historical Survey Committee,29.91041,-96.86875,,La Grange,Fayette County
1582,259528,,Fayetteville,State of Texas,29.90412,-96.67604,,Fayetteville,Fayette County
15553,183911,,Fayetteville Brethren Church Cemetery,Texas Historical Commission,29.88302,-96.67114,1022 Kramr Road,Fayetteville,Fayette County
14696,183342,,Fayetteville City Cemetery,Texas Historical Commission,29.90478,-96.67059,3364 Pierce Street,Fayetteville,Fayette County
14020,183369,,Fayetteville SPJST,Texas Historical Commission,29.90459,-96.67586,,Fayetteville,Fayette County
11908,73399,,Federal Building (United States Courthouse),Texas Historical Commission,33.63867,-96.60978,300 North Travis Street,Sherman,Grayson County
,202024,,Federal Court Site,State Historical Survey Committee,25.9011,-97.49806,1201 East Elizabeth Street,Brownsville,Cameron County
10558,118791,,Federal Fatalities at the Battle of Sabine Pass,Texas Historical Commission,29.7339,-93.87397,6100 Dick Dowling Road,Sabine Pass,Jefferson County
10514,151292,,Federated Women's Clubs <small>Of Port Arthur</small>,Texas Historical Commission,29.88189,-93.92295,1924 Lakeshore Drive,Port Arthur,Jefferson County
17969,218941,,Federico Villalba,Texas Historical Commission,29.31975,-103.61242,,Terlingua,Brewster County
7933,120691,,Feely Cemetery,Texas Historical Commission,31.05972,-104.52371,,Van Horn,Culberson County
9185,111113,,"Felipe Entrique Neri, Baron De Bastrop",State of Texas,30.10932,-97.28302,130 Highway 21 E,Bastrop,Bastrop County
1585,49589,,Felipe Valerio Store and Garage,Texas Historical Commission,27.80926,-98.42283,,San Diego,Duval County
6540,95814,,Felix de Leon,State Historical Survey Committee,28.811,-97.00889,,Victoria,Victoria County
17282,287315,,Felix L. Lindsey,Texas Historical Commission,33.91196,-98.50781,1810 Fifth Street,Wichita Falls,Wichita County
16279,155384,,Felix Longoria,Texas Historical Commission,28.46129,-98.18276,105 N. Harborth Avenue,Three Rivers,Live Oak County
18419,252424,,Felix Martinez,Texas Historical Commission,31.75787,-106.48915,101 S. El Paso St.,El Paso,El Paso County
15706,235561,,Felix Tijerina,Texas Historical Commission,29.74483,-95.39064,904 Westheimer Road,Houston,Harris County
10120,156241,,Felix Van Der Stucken Home,Texas Historical Commission,30.27704,-98.87218,114 West Austin Street,Fredericksburg,Gillespie County
6306,206894,,Felix Von Blucher,Texas Historical Commission,27.79175,-97.40002,212 S Carrizo St,Corpus Christi,Nueces County
1588,95987,,Fence-Cutting War,State Historical Survey Committee,31.89261,-100.48531,,Robert Lee,Coke County
1589,157172,,Ferdinand Hohenberger Farmstead,Texas Historical Commission,30.12764,-98.82168,,Grapetown,Kendall County
1590,210026,,Ferdinand J. Lindheimer,State of Texas,29.7134,-98.10999,301 Peace Avenue,New Braunfels,Comal County
6541,95700,,Fernando de Leon,State Historical Survey Committee,28.81097,-97.00889,,Victoria,Victoria County
13180,160959,,Ferndale Club,Texas Historical Commission,32.95545,-95.06709,,Pittsburg,Camp County
15422,247360,,Fidelity Schools,Texas Historical Commission,29.74452,-95.25148,,Galena Park,Harris County
16884,177640,,Field Street Baptist Church,Texas Historical Commission,32.34608,-97.39595,201 North Field Street,Cleburne,Johnson County
9382,169390,,Field's Store Community,Texas Historical Commission,30.16488,-95.92417,,Fields Store,Waller County
1594,245083,,Fielder House,Texas Historical Commission,32.73531,-97.13119,1616 W. Abram Street,Arlington,Tarrant County
,245440,,Fielder House,Texas Historical Commission,32.73487,-97.13096,1616 W Abram Street,Arlington,Tarrant County
10775,129952,,Fielding G. Secrest,the State of Texas,29.75725,-95.37897,1217 West Dallas Street,Houston,Harris County
9381,169385,,Fields Store Cemetery,State Historical Survey Committee,30.16601,-95.92152,26104 Schneider Road,Fields Store,Waller County
12961,90745,,Fife Cemetery,Texas Historical Commission,31.39455,-99.37502,,Brady,McCulloch County
14065,137893,,Fifth Street Missionary Baptist Church,Texas Historical Commission,33.58849,-102.38016,1009 5th Street,Levelland,Hockley County
149,130386,,Fiftieth Anniversary Celebration of the American Declaration of Independence,Texas Historical Commission,29.70528,-96.54189,605 Spring Street,Columbus,Colorado County
1526,102801,,Fight of Sheriff’s Posse with Cattle Rustlers,State Historical Survey Committee,30.48916,-99.76586,501 Main Street,Junction,Kimble County
7936,52722,,Figure 2 Ranch,Texas Historical Commission,31.45384,-104.84279,,Van Horn,Culberson County
12735,55428,,Filippone Building,Texas Historical Commission,29.3143,-100.41815,,Brackettville,Kinney County
16393,244634,,Fin & Feather Hunting and Fishing Club,Texas Historical Commission,32.70661,-95.99352,,Wills Point,Van Zandt County
10354,269064,,Fincastle Cemetery and Church,Texas Historical Commission,32.12854,-95.56694,,Poynor,Henderson County
1595,55897,,Finch-Lord-Nelson and the Founding of Panhandle City,State Historical Survey Committee,35.34636,-101.38014,503 Elsie Avenue.,Panhandle,Carson County
7362,223629,,Fink,Texas Historical Commission,33.80013,-96.67785,75005 N State Highway 289,Pottsboro,Grayson County
23358,246392,,Finney Field,Texas Historical Commission,34.27519,-101.71656,312 I-27,Plainview,Hale County
7192,62120,,Fire Station No. 2,Texas Historical Commission,32.08928,-96.47356,1011 West 5th Avenue,Corsicana,Navarro County
7438,201878,,First Aero Squadron,State Historical Survey Committee,29.39268,-94.89279,900 Bay Street,Texas City,Galveston County
10660,62908,,First Airplane Flight Over Texas,Texas Historical Commission,29.66423,-95.23262,,South Houston,Harris County
2069,78039,,First Anglican Church Service in the Callahan Area,Texas Historical Commission,32.23749,-99.60503,,Clyde,Callahan County
1599,130355,,First Bandera County Courthouse,Texas Historical Commission,29.72476,-99.06923,200 12th Street,Bandera,Bandera County
1600,220235,,First Bank Building in County,State Historical Survey Committee,33.21838,-98.15892,101 North Main Street,Jacksboro,Jack County
1602,55977,,First Baptist Church,State Historical Survey Committee,34.97997,-101.92523,1717 4th Avenue,Canyon,Randall County
1639,201883,,First Baptist Church,State Historical Survey Committee,31.70194,-98.12349,220 South Bell Street,Hamilton,Hamilton County
1656,159044,,First Baptist Church,State Historical Survey Committee,31.68307,-96.4802,500 East Carthage Street,Mexia,Limestone County
6689,251857,,First Baptist Church,State Historical Survey Committee,32.78458,-96.79968,1707 San Jacinto,Dallas,Dallas County
7572,204221,,First Baptist Church,State Historical Survey Committee,30.5291,-96.694,300 South Thomas Street,Caldwell,Burleson County
8332,165255,,First Baptist Church,State Historical Survey Committee,30.16963,-96.39677,304 North Market Street,Brenham,Washington County
8874,233994,,First Baptist Church,State Historical Survey Committee,33.58066,-96.17782,710 N Center Street,Bonham,Fannin County
10414,201854,,First Baptist Church,State Historical Survey Committee,30.92002,-94.8276,,Moscow,Polk County
10921,168208,,First Baptist Church,State Historical Survey Committee,30.98116,-96.67099,599 Burnett Street,Calvert,Robertson County
10922,168069,,First Baptist Church,State Historical Survey Committee,30.87821,-96.59383,105 West Davis Street,Hearne,Robertson County
1606,161962,,First Baptist Church,Texas Historical Commission,32.26808,-98.82843,209 Cannel Street,Carbon,Eastland County
1616,152233,,First Baptist Church,Texas Historical Commission,31.06144,-97.46223,,Belton,Bell County
1617,194103,,First Baptist Church,Texas Historical Commission,30.10099,-98.43008,1200 4th Street,Blanco,Blanco County
1618,82380,,First Baptist Church,Texas Historical Commission,31.88371,-100.29371,424 S. Washington St,Bronte,Coke County
1628,150633,,First Baptist Church,Texas Historical Commission,31.29761,-97.25496,100 Washington St,Bruceville-Eddy,McLennan County
1635,147397,,First Baptist Church,Texas Historical Commission,32.93904,-97.07591,301 E Texas Street,Grapevine,Tarrant County
1640,68994,,First Baptist Church,Texas Historical Commission,33.21941,-98.16031,,Jacksboro,Jack County
1641,31532,,First Baptist Church,Texas Historical Commission,30.27731,-98.40965,102 Avenue F,Johnson City,Blanco County
1644,162336,,First Baptist Church,Texas Historical Commission,30.04846,-99.13489,625 Washington Street,Kerrville,Kerr County
1646,175374,,First Baptist Church,Texas Historical Commission,31.06426,-98.18307,402 South Key Avenue,Lampasas,Lampasas County
1658,161654,,First Baptist Church,Texas Historical Commission,31.75935,-96.88304,505 North Allyn Avenue,Mt. Calm,Hill County
1667,181208,,First Baptist Church,Texas Historical Commission,28.62565,-96.62655,902 Calhoun Street,Port Lavaca,Calhoun County
1683,191933,,First Baptist Church,Texas Historical Commission,29.31522,-96.09842,507 North Fulton,Wharton,Wharton County
6766,122855,,First Baptist Church,Texas Historical Commission,31.96426,-95.24872,210 Phillip Avenue,Jacksonville,Cherokee County
7100,208870,,First Baptist Church,Texas Historical Commission,32.12434,-96.94469,201 East Crossmain,Milford,Ellis County
7440,50152,,First Baptist Church,Texas Historical Commission,29.5125,-95.09033,,League City,Galveston County
7789,163738,,First Baptist Church,Texas Historical Commission,33.13785,-96.10884,2703 Wesley Street,Greenville,Hunt County
7944,150936,,First Baptist Church,Texas Historical Commission,30.85068,-96.97935,400 W Main St,Cameron,Milam County
8131,202911,,First Baptist Church,Texas Historical Commission,28.43761,-99.23551,201 Frio Street,Cotulla,La Salle County
8509,97325,,First Baptist Church,Texas Historical Commission,32.73977,-96.27686,403 North Catherine Street,Terrell,Kaufman County
10156,218650,,First Baptist Church,Texas Historical Commission,32.54602,-94.37083,405 West Austin Street,Marshall,Harrison County
10268,150956,,First Baptist Church,Texas Historical Commission,29.84822,-97.98439,325 W McCarty Ln,San Marcos,Hays County
10356,61228,,First Baptist Church,Texas Historical Commission,32.17118,-96.02379,,Malakoff,Henderson County
11406,119610,,First Baptist Church,Texas Historical Commission,32.70922,-96.00731,125 E James St,Wills Point,Van Zandt County
15310,92576,,First Baptist Church,Texas Historical Commission,32.94745,-99.80289,,Stamford,Jones County
16949,171190,,First Baptist Church,Texas Historical Commission,30.03248,-93.83665,200 West Round Bunch Road,Bridge City,Orange County
16994,187276,,First Baptist Church,Texas Historical Commission,32.75881,-97.80028,222 West Church Street,Weatherford,Parker County
17362,210579,,First Baptist Church,Texas Historical Commission,30.57043,-97.40248,300 North Robinson Street,Taylor,Williamson County
10517,170868,,First Baptist Church <small>of Nederland</small>,Texas Historical Commission,29.96894,-93.99424,1911 Nederland Avenue,Nederland,Jefferson County
16812,220244,,First Baptist Church Bridgeport,Texas Historical Commission,33.20945,-97.75501,1204 12th Street,Bridgeport,Wise County
22412,220640,,First Baptist Church George West,Texas Historical Commission,28.33376,-98.11738,707 Frio Street,George West,Live Oak County
18204,119873,,First Baptist Church Georgetown,Texas Historical Commission,30.63238,-97.70752,1333 W Unitversity Ave,Georgetown,Williamson County
17822,198756,,First Baptist Church NBC of San Marcos,Texas Historical Commission,29.87348,-97.94751,420 South Mitchell Street,San Marcos,Hays County
1607,152963,,First Baptist Church of Aledo,Texas Historical Commission,32.69717,-97.60199,128 Elm Street,Aledo,Parker County
,196117,,First Baptist Church of Alice,Texas Historical Commission,27.75223,-98.072,501 East 2nd Street,Alice,Jim Wells County
12989,61014,,First Baptist Church of Alpine,Texas Historical Commission,30.35934,-103.66102,203 North 4th Street,Alpine,Brewster County
13030,220279,,First Baptist Church of Alvarado,Texas Historical Commission,32.41729,-97.21003,207 US 67,Alvarado,Johnson County
9559,173320,,First Baptist Church of Angleton,Texas Historical Commission,29.1808,-95.45105,972 Anchor Road,Angleton,Brazoria County
1608,269324,,First Baptist Church of Archer City,Texas Historical Commission,33.59415,-98.62697,,Archer City,Archer County
1609,225015,,First Baptist Church of Arlington,Texas Historical Commission,32.73388,-97.1073,300 S. Center Street,Arlington,Tarrant County
14327,219466,,First Baptist Church of Athens,Texas Historical Commission,32.20356,-95.85239,105 South Carroll Street,Athens,Henderson County
1610,80766,,First Baptist Church of Baird,Texas Historical Commission,32.39333,-99.39707,240 Race St,Baird,Callahan County
1613,29036,,First Baptist Church of Bartlett,Texas Historical Commission,30.79713,-97.42975,210 W Bell St,Bartlett,Bell County
12528,65220,,First Baptist Church of Bastrop,Texas Historical Commission,30.11285,-97.31873,1201 Water Street,Bastrop,Bastrop County
1614,191965,,First Baptist Church of Bay City,Texas Historical Commission,28.97988,-95.96973,2321 Avenue F,Bay City,Matagorda County
10826,268528,,First Baptist Church of Beckville,Texas Historical Commission,32.24443,-94.45292,209 E Grand Bluff,Beckville,Panola County
1615,180920,,First Baptist Church of Beeville,Texas Historical Commission,28.40676,-97.75074,600 North Saint Mary's Street,Beeville,Bee County
7363,204515,,First Baptist Church of Bells,Texas Historical Commission,33.60933,-96.41057,,Bells,Grayson County
12125,167021,,First Baptist Church of Bishop,Texas Historical Commission,27.5829,-97.79672,,Bishop,Nueces County
8194,234293,,First Baptist Church of Blossom,Texas Historical Commission,33.65948,-95.38105,200 Young Street,Blossom,Lamar County
17922,245774,,First Baptist Church of Bowie,Texas Historical Commission,33.55935,-97.84625,307 N. Lindsay Street,Bowie,Montague County
