OsmNodeID,thc:Latitude,thc:Longitude,abandoned:historic,abandoned:memorial,access,addr:city,addr:country,addr:county,addr:full,addr:state,alt_name,check_date,colour,contact:facebook,date,description,designation,direction,ele,flickr,gnis:feature_id,heritage,heritage:operator,historic,image,image:creator,inscription,inscription:url,mapillary,material,memorial,memorial:website,name,name:en,name:es,name:etymology:wikidata,name:pt,name:sr,name:ur,name:zh,note,official_name,openplaques:id,operator,operator:es,operator:wikidata,panoramax,ref:US-TX:thc,ref:hmdb,short_name,source:url,source:website,source_ref,start_date,subject:wikidata,subject:wikimedia_commons,subject:wikipedia,support,thc:designation,thc:inscription_date,website,wikidata,wikimedia_commons,wikipedia,year
5190217820,32.663914,-95.4866312,,,,,,,,,,,,,,,,325,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=139048,William Jesse McDonald,,,,,,,,,,,Texas Historical Commission,,Q2397965,,11663,139048,,,https://atlas.thc.texas.gov/Details/5499011663,,1999,,,,,,,,,,,
5222130703,25.9040003,-97.504087,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=118520,Alonzo Complex,,,,,,,,,,,Texas Historical Commission,,Q2397965,,11776,118520,,,https://atlas.thc.texas.gov/Details/5061011776,,1998,,,,,Recorded Texas Historic Landmark,,,,,,
5222137091,26.0619333,-97.7842145,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=19358,Alonzo de Leon Expeditions,,,,,,,,,,,Texas Historical Commission,,Q2397965,,6042,19358,,,https://atlas.thc.texas.gov/Details/5061006042,,1968,,,,,Historical Marker,,,,,,
5222141465,26.0778469,-97.2141291,,,,,,,,,,,,,,,,,,https://flic.kr/p/Au3UK,,4,thc,memorial,,,,,,aluminium,plaque,,Alta Vista Apartments,,,,,,,,,,,Texas Historical Commission,,Q2397965,,132,,,,https://atlas.thc.texas.gov/Details/5061000132,,1988,,,,,,,,,,,
5222147282,25.8991251,-97.4958173,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,"Bagdad-Matamoros, C.S.A.",,,,,,,,,,,Texas Historical Commission,,Q2397965,,275,,,,https://atlas.thc.texas.gov/Details/5061000275,,1964,,,,,Historical Marker,,,,,,
5222159065,25.9064948,-97.501338,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Barreda House,,Casa Barreda,,,,,,,,,Texas Historical Commission,Comisión Histórica de Texas,Q2397965,,308,,,,https://atlas.thc.texas.gov/Details/5061000308,,1994,,,,,Recorded Texas Historic Landmark,,,,,,
5222163690,25.9062291,-97.5061536,,,,,,,,,,,,,,"One of the earliest Episcopal churches organized in Texas, this congregation was founded in 1851. The Rev. William Passmore served as first Rector, and by 1854 a church building was completed in the downtown area. Destroyed by a hurricane in 1867, it was",,,,,,4,Texas Historical Commission,memorial,,,,,,aluminium,plaque,,Browne-Wagner House,,,,,,,,,Browne-Wagner House,,Texas Historical Commission,,Q2397965,,536,,,,https://atlas.thc.texas.gov/Details/5061000536,,1978,,,,pole,Recorded Texas Historic Landmark,,,,,,
5222168905,25.9085245,-97.5002195,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Brownsville City Cemetery,,,,,,,,,,,Texas Historical Commission,,Q2397965,,539,,,,https://atlas.thc.texas.gov/Details/5061000539,,1983,,,,,Historical Marker,,,,,,
5223111278,25.9501428,-97.5058669,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,,Cameron County,,,,,,,,,,,Texas Historical Commission,,Q2397965,,639,,,,https://atlas.thc.texas.gov/Details/5061000639,,1936,,,,,Historical Marker,,,,,,
5223121706,25.903228,-97.4961371,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=117935,Cameron County Courthouse of 1883-1914,,,,,,,,,,,Texas Historical Commission,,Q2397965,,640,117935,,,https://atlas.thc.texas.gov/Details/5061000640,,1962,,,,,Recorded Texas Historic Landmark,,,,,,
5223139968,25.9052378,-97.4929802,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=117886,1912 Cameron County Jail,,,,,,,,,,,Texas Historical Commission,,Q2397965,,31,117886,,,https://atlas.thc.texas.gov/Details/5061000031,,1994,,,,,Recorded Texas Historic Landmark,,,,,,
5223153496,25.9634104,-97.2300366,,,,,,,,,,,,,,,,,,,,,,memorial,,,,,,aluminium,plaque,http://www.hmdb.org/m.asp?m=35287,Camp Belknap,,,,,,,,,,,Texas Historical Commission,,Q2397965,,4739,35287,,,https://atlas.thc.texas.gov/Details/5061004739,,1996,,,,,Historical Marker,,,,,,
