ref:hmdb,ref:US-TX:thc,name,Subtitle,Add'l Subtitle,memorial:website,year,,operator,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,Section or Quarter,addr:county,addr:state,Marker Notes,isMissing,,First Published,Last Update
110307,55,The A. J. Warren Building,,,https://www.hmdb.org/m.asp?m=110307,1975,,Texas Historical Commission,32.96495,-101.83273,,O'Donnell,,Lynn County,Texas,"It is at the intersection of Doak Street and 8th Street, on the left when traveling north on Doak Street. ",,,11/19/2017,11/19/2017
73500,56,A.M. Brownfield Home,,,https://www.hmdb.org/m.asp?m=73500,1985,,Texas Historical Commission,33.17577,-102.26908,600 East Cardwell Street,Brownfield,,Terry County,Texas,"It is at the intersection of East Cardwell Street and South B Street, on the right when traveling east on East Cardwell Street. ",,,5/8/2014,9/16/2016
91673,57,A.T. & S.F. No. 5000,"""Madam Queen""",,https://www.hmdb.org/m.asp?m=91673,1965,,State Historical Survey Committee,35.21135,-101.83023,,Amarillo,,Potter County,Texas,"It is at the intersection of SE 2nd Avenue and South Lincoln Street, on the right when traveling west on SE 2nd Avenue. ",,,12/17/2015,12/17/2015
59425,58,Baden-Sproule House,,,https://www.hmdb.org/m.asp?m=59425,1989,,Texas Historical Commission,29.28715,-94.80523,1919 37th St,Galveston,,Galveston County,Texas,"It is at the intersection of 37th Street and Avenue P 1/2, on the right when traveling south on 37th Street. ",,,9/13/2012,5/19/2020
136074,59,Arden Community,,,https://www.hmdb.org/m.asp?m=136074,1979,,Texas Historical Commission,31.44368,-100.76655,,Mertzon,,Irion County,Texas,"It is on Farm to Market Road 853 10.8 miles north of U.S. 67, on the right when traveling east. ",,,7/1/2019,11/25/2020
56586,61,"Atascosa Lodge No. 379, A.F. and A.M.",,,https://www.hmdb.org/m.asp?m=56586,1970,,Texas Historical Commission,29.23717,-98.79967,19004 Somerset Road,Lytle,,Atascosa County,Texas,It is at the intersection of Somerset Road and Laredo Road on Somerset Road. ,,,6/24/2012,6/24/2012
180017,62,Ball High School,,,https://www.hmdb.org/m.asp?m=180017,1988,,Texas Historical Commission,29.28804,-94.8108,4115 Avenue O,Galveston,,Galveston County,Texas,"It is at the intersection of Avenue O and Jack Johnson Blvd (Road 41st), on the left when traveling west on Avenue O. ",,,8/22/2021,8/22/2021
143565,63,W. P. Ballinger Law Firm,,,https://www.hmdb.org/m.asp?m=143565,1967,,Texas Historical Commission,29.30645,-94.79371,2228 Mechanic Street,Galveston,,Galveston County,Texas,"It can be reached from Mechanic Street west of Kempner Street, on the right when traveling west. ",,,2/3/2020,10/26/2022
290628,64,Frederick William Beissner House,,,https://www.hmdb.org/m.asp?m=290628,1990,,Texas Historical Commission,29.30387,-94.78592,1702 Avenue H,Galveston,,Galveston County,Texas,"It is on 17th Street north of Avenue H, on the right when traveling south. ",,,12/24/2025,12/24/2025
201983,65,Frank Bell Jr.,,,https://www.hmdb.org/m.asp?m=201983,1995,,Texas Historical Commission on the Sesquicentennial of Texas Statehood 1845–1995.,29.36864,-94.97171,1111 Bayou Rd,La Marque,,Galveston County,Texas,"It is at the intersection of Cedar Drive and Bayou Road, on the right when traveling west on Cedar Drive. ",,,7/13/2022,7/13/2022
59701,66,Abbott Baptist Church,,,https://www.hmdb.org/m.asp?m=59701,1996,,Texas Historical Commission,31.88489,-97.07142,,Abbott,,Hill County,Texas,"It is on S. Borden near Walnut Street (Farm to Market Road 1242), on the left when traveling south. ",,,9/24/2012,9/24/2012
59801,67,Abbott House,,,https://www.hmdb.org/m.asp?m=59801,1986,,Texas Historical Commission,32.01462,-97.12377,133 Corsicana Street,Hillsboro,,Hill County,Texas,"It is on Corsicana Street west of North Abbott Street, on the right when traveling west. ",,,10/2/2012,9/7/2019
59999,68,Abbott Schools,,,https://www.hmdb.org/m.asp?m=59999,1985,,Texas Historical Commission,31.88308,-97.07629,60 First Street,Abbott,,Hill County,Texas,"It is on First Street near Waco Street, on the right when traveling south. ",,,10/4/2012,10/4/2012
59993,69,Abbott United Methodist Church,,,https://www.hmdb.org/m.asp?m=59993,1984,,Texas Historical Commission,31.88522,-97.07146,,Abbott,,Hill County,Texas,"It is at the intersection of Walnut Street and Bordon Street, on the left when traveling east on Walnut Street. ",,,10/4/2012,10/4/2012
86512,70,Abilene Christian University,,,https://www.hmdb.org/m.asp?m=86512,1981,,Texas Historical Commission,32.46724,-99.71145,,Abilene,,Taylor County,Texas,"It is at the intersection of Campus Court and College Drive, on the right when traveling north on Campus Court. ",,,7/30/2015,2/4/2021
78835,71,Abilene Negro High School,,,https://www.hmdb.org/m.asp?m=78835,1996,,Texas Historical Commission,32.45878,-99.72719,520 N. 9th St,Abilene,,Taylor County,Texas,"It is at the intersection of N. 9th Street and Ash Street, on the right when traveling west on N. 9th Street. ",,,11/12/2014,7/25/2015
209691,72,Abilene Reporter-News,,,https://www.hmdb.org/m.asp?m=209691,1981,,Texas Historical Commission,32.44991,-99.73412,101 Cypress St,Abilene,,Taylor County,Texas,"It can be reached from the intersection of Cypress Street and N. 1st Street, on the right when traveling north. <font color=red> Reported missing.</font>",Reported Missing,,11/12/2022,11/12/2022
86314,73,Abilene State School,,,https://www.hmdb.org/m.asp?m=86314,1981,,Texas Historical Commission,32.41867,-99.72466,2501 Maple St,Abilene,,Taylor County,Texas,"It can be reached from Maple Street south of S. 25th Street, on the right when traveling north. ",,,7/27/2015,7/27/2015
262908,75,Absalom H. Chivers Cemetery,,,https://www.hmdb.org/m.asp?m=262908,1982,,Texas Historical Commission,32.95832,-97.13745,950 E Highland St,Southlake,,Tarrant County,Texas,It can be reached from East Highland Street. ,,,12/15/2024,12/15/2024
164617,76,Abston Cemetery,,,https://www.hmdb.org/m.asp?m=164617,1988,,Texas Historical Commission,33.04757,-96.42563,,Lavon,,Collin County,Texas,"It can be reached from Highway 78 south of Mallard Park, on the right when traveling south. ",,,1/14/2021,1/14/2021
93318,77,Ace Borger Home,,,https://www.hmdb.org/m.asp?m=93318,1976,,Texas Historical Commission,35.67519,-101.39222,829 North Hedgecoke Street,Borger,,Hutchinson County,Texas,"It is on North Hedgecoke Street south of West 9th Street, on the right when traveling south. ",,,3/26/2016,3/26/2016
195103,78,Acequia Madre de Valero,,,https://www.hmdb.org/m.asp?m=195103,1968,,Texas Historical Commission,29.41963,-98.48678,630 E Nueva St,San Antonio,Hemisfair,Bexar County,Texas,"It can be reached from East Nueva Street north of Hemisfair Boulevard, on the left when traveling north. ",,,4/8/2022,2/2/2023
138123,79,Acton Cemetery,,,https://www.hmdb.org/m.asp?m=138123,1969,,State Historical Survey Committee,32.4408,-97.68498,,Acton,,Hood County,Texas,"It is on Fall Creek Highway (Farm to Market Road 167) 0.2 miles north of Cleburne Highway (Farm to Market Road 4), on the right when traveling south. ",,,8/21/2019,1/5/2025
264261,80,Acton Methodist Church,,,https://www.hmdb.org/m.asp?m=264261,1994,,Texas Historical Commission,32.44352,-97.68671,3433 Fall Creek Hwy,Acton,,Hood County,Texas,It is at the intersection of Fall Creek Highway (Farm to Market Road 4) and Wesley Street on Fall Creek Highway. ,,,1/5/2025,1/5/2025
264257,81,Acton Public Square,,,https://www.hmdb.org/m.asp?m=264257,1976,,Texas Historical Commission,32.44673,-97.69104,5671 Acton Hwy,Acton,,Hood County,Texas,"It is on Acton Highway (Farm to Market Road 4) west of Old Farm to Market Road 167, on the right when traveling east. ",,,1/5/2025,1/5/2025
81124,82,Adair-Steadman Site,,,https://www.hmdb.org/m.asp?m=81124,1984,,Texas Historical Commission,32.6829,-100.14868,,Sylvester,,Fisher County,Texas,"It is at the intersection of Farm to Market Road 1812 and Ranch Road, on the right when traveling west on Road 1812. ",,,2/27/2015,11/30/2024
268790,84,"Here J.A. Clark and his two sons, Addison and Randolph began a private school",,,https://www.hmdb.org/m.asp?m=268790,1936,,State of Texas,32.47271,-97.82381,2920 Thorp St,Granbury,,Hood County,Texas,"It is at the intersection of Thorp Street and Caraway Street, on the right when traveling west on Thorp Street. ",,,3/31/2025,3/31/2025
108773,85,Addie M. Graham,,,https://www.hmdb.org/m.asp?m=108773,1986,,Texas Historical Commission,33.11422,-98.59558,,Graham,,Young County,Texas,"It can be reached from Pecan Street 0.2 miles north of 7th Street (State Highway 67), on the left when traveling north. ",,,10/1/2017,10/1/2017
61083,86,Adina de Zavala,"(November 28, 1861 – March 1, 1955)",,https://www.hmdb.org/m.asp?m=61083,1994,,Texas Historical Commission,29.42593,-98.48671,212 Alamo Plaza,San Antonio,Alamo Plaza,Bexar County,Texas,It can be reached from Alamo Plaza 0.1 miles south of East Houston Street. ,,,11/15/2012,2/2/2023
79872,88,Admiral Baptist Church,,,https://www.hmdb.org/m.asp?m=79872,1986,,Texas Historical Commission,32.29605,-99.29541,,Baird,,Callahan County,Texas,It can be reached from the intersection of Farm to Market Road 2228 and County Road 461. ,,,12/24/2014,12/24/2014
174509,89,2nd. Lt. Adolph Strieber,Union Veteran,,https://www.hmdb.org/m.asp?m=174509,1964,,State Historical Survey Committee,28.99024,-97.52061,1335 Westside Cemetery Road,Yorktown,,DeWitt County,Texas,"It is at the intersection of Westside Cemetery Road and John Oliver Road, on the right when traveling west on Westside Cemetery Road. ",,,6/2/2021,6/2/2021
264169,94,Ahavath Sholom Hebrew Cemetery,,,https://www.hmdb.org/m.asp?m=264169,1992,,Texas Historical Commission,32.7626,-97.3612,411 N. University Blvd,Fort Worth,North Side,Tarrant County,Texas,"It is at the intersection of N. University Blvd and Shamrock Ave, on the right when traveling south on N. University Blvd. ",,,1/5/2025,1/27/2025
