OsmNodeID,ref:US-TX:thc,ref:hmdb,name,operator,osm:Latitude,osm:Longitude,addr:full,addr:city,addr:county
6206876848,185,,"Aransas Pass, C.S.A",Texas Historical Commission,27.8413962,-97.0630808,,,
12453821514,185,25757,1933 Austin Public Library,Texas Historical Commission,30.27178,-97.74587,,,
6296521704,186,193028,Arcadius Steinle House,Texas Historical Commission,29.3585621,-98.8788235,,,
9828678704,187,99858,Archeological Sites at Mackenzie Reservoir and Tule Canyon,Texas Historical Commission,34.5497449,-101.4381971,,,
12389411258,189,187144,Archer County,Texas Historical Commission,33.51453,-98.65951,,,
12453459497,189,212840,Blooming Grove United Methodist Church,Texas Historical Commission,32.09216,-96.7144,,,
12389411266,190,17912,Archer County Copper Mines,Texas Historical Commission,33.64694,-98.70635,,,
12389411261,192,187139,Archer County Discovery Well,Texas Historical Commission,33.59518,-98.62558,,,
12453506211,192,168328,Katy Hamman Stricker Library,Texas Historical Commission,30.9813,-96.67209,,,
12389411259,193,187143,Archer County Jail,Texas Historical Commission,33.59646,-98.62434,,,
12414158029,194,225185,Archer Park,Texas Historical Commission,26.20507,-98.23367,,,
9890218132,195,238072,Argyle,Texas Historical Commission,33.1208508,-97.1823869,,,
12389325979,196,238071,Argyle United Methodist Church,Texas Historical Commission,33.14013,-97.17317,,,
12395077334,197,211553,The Argyle,Texas Historical Commission,29.47566,-98.47179,,,
6179639278,198,32334,Aransas Creek Settlers,Texas Historical Commission,28.2516172,-97.6848525,,,
12423678280,199,170299,Arlington Cemetery,Texas Historical Commission,32.72913,-97.10284,,,
12454129250,199,208118,Mount Salem American Baptist Church,Texas Historical Commission,28.80231,-96.99818,,,
12423678133,200,226546,"Arlington Heights Lodge No. 1184, A.F. and A.M",Texas Historical Commission,32.7403,-97.38832,,,
12423678217,201,56976,Armour and Company,Texas Historical Commission,32.78881,-97.34413,,,
12403616651,204,231733,Booker T. Washington School,Texas Historical Commission,29.38744,-94.90004,,,
12438066368,204,179322,Shiner Cemetery,Texas Historical Commission,29.4463,-97.17927,,,
